0;0;0;0;x;x
1;167;65;65;Stabelholm;x
2;184;69;67;Tønning;x
3;207;101;101;Slesvig;x
4;225;82;82;Bollingsted;x
5;162;59;59;Isted;x
6;220;117;117;Ravnkær;x
7;213;110;110;Egernførde;x
8;205;71;71;Hanved;x
9;222;78;78;Gelting;x
10;241;171;165;Husum;x
11;249;159;151;Højer;x
12;184;68;69;Horsbøl;x
13;210;77;77;Langhorn;x
14;247;190;185;Bredsted;x
15;184;69;68;Rungholt;x
16;248;190;185;Sild;x
17;184;69;69;Før;x
18;214;133;127;Lundtoft;x
19;253;120;109;Augustenborg;x
20;252;169;162;Nordborg;x
21;167;64;64;Kær;x
22;247;139;130;Slogs;x
23;253;140;130;Rømø;x
24;228;107;96;Tyrstrup;x
25;250;153;144;Rangstrup;x
26;238;132;121;Rødding;x
27;202;95;95;Roskilde;x
28;169;58;58;Ramløse;x
29;183;69;69;Helsingør;x
30;232;105;105;Farum;x
31;87;2;2;København;x
32;206;82;82;Smørum;x
33;199;77;77;Karlslunde;x
34;166;79;79;Næstved;x
35;199;78;78;Tybjerg;x
36;199;97;97;Vordingborg;x
37;214;99;99;Holbæk;x
38;187;61;61;Hyllinge;x
39;195;77;77;Skibby;x
40;209;110;110;Nykøbing Falster;x
41;186;84;84;Stubbekøbing;x
42;168;65;65;Stege;x
43;211;107;107;Roskilde;x
44;210;75;75;Faxe;x
45;155;63;62;Heddinge;x
46;182;81;81;Hårlev;x
47;167;63;63;Køge;x
48;193;104;104;Nakskov;x
49;178;81;81;Stokkemarke;x
50;199;96;96;Rødby;x
51;174;72;72;Sakskøbing;x
52;195;67;67;Slagelse;x
53;162;60;60;Sorø;x
54;211;84;84;Skælskør;x
55;192;65;65;Fuglebjerg;x
56;211;82;82;Kalundborg;x
57;195;78;78;Værslev;x
58;222;92;92;Tuse;x
59;177;64;64;Nykøbing Sjælland;x
60;237;98;185;Rudkøbing;x
61;196;71;150;Bregninge;x
62;245;112;196;Vindeby;x
63;223;60;162;Lindelse;x
64;200;83;157;Svendborg;x
65;228;84;174;Faaborg;x
66;213;105;173;Gudme;x
67;191;54;140;Nyborg;x
68;241;104;190;Fraugde;x
69;209;72;159;Ladby;x
70;201;14;133;Viby;x
71;141;49;107;Odense;x
72;206;113;172;Middelfart;x
73;193;78;151;Assens;x
74;169;66;131;Bogense;x
75;205;96;165;Skamby;x
76;220;139;190;Otterup;x
77;188;65;65;Hjørring;x
78;196;59;59;Hals;x
79;221;47;59;Læsø;x
80;226;97;97;Stentinget;x
81;156;38;38;Vrensted;x
82;216;77;77;Sæby;x
83;170;47;47;Skagen;x
