0;0;0;0;x;x;
1;119;81;35;CAPRAIA;x;
2;100;66;27;ELBA;x;
3;78;54;25;PIANOSA;x;
4;99;67;29;GIGLIO;x;
5;77;54;25;MONTECRISTO;x;
6;39;107;28;CASTANICCIA;x;
7;67;147;54;ELLARATA;x;
8;97;195;83;FIUMORBO;x;
9;30;80;20;ALTA ROCCA;x;
10;48;145;32;FRETO;x;
11;94;188;79;ROCCA;x;
12;49;150;33;TARAVO;x;
13;33;82;23;GRAVONA;x;
14;71;150;58;LIAMONE;x;
15;40;104;29;DUI SEVI;x;
16;33;88;23;FILOSORMA;x;
17;98;195;83;BALAGNE;x;
18;34;118;20;CORTE;x;
19;61;138;49;CACCIA;x;
20;28;88;18;NEBBIO;x;
21;38;128;24;CAPO CORSO;x;
22;215;211;152;PONTINA;x;
23;201;187;156;CECCANO;x;
24;243;235;220;FROSINONE;x;
25;237;219;179;ANAGNI;x;
26;189;174;143;SEGNI;x;
27;246;236;218;SUBIACO;x;
28;224;215;194;VELLETRI;x;
29;231;213;175;NETTUNO;x;
30;210;197;168;OSTIA;x;
31;239;229;212;ALBANO;x;
32;213;210;155;PALESTRINA;x;
33;201;186;156;TIVOLI;x;
34;227;214;186;RIETI;x;
35;241;220;175;POLI;x;
36;217;205;178;FARFA;x;
37;231;218;195;SABINA;x;
38;200;196;124;FIANO;x;
39;231;222;205;ANGUILLARA;x;
40;234;230;168;CERVETERI;x;
41;219;212;197;BRACCIANO;x;
42;239;230;215;SUTRI;x;
43;215;205;178;ORTE;x;
44;6;120;255;HAMBURG;x;
45;134;122;0;L�BECK;x;
46;6;124;64;MECKLENBURG;x;
47;134;126;128;STRALSUND;x;
48;6;128;192;KOLBERG;x;
49;135;130;255;NEUMARK;x;
50;7;132;0;BERLIN;x;
51;135;134;64;RUPPIN;x;
52;7;136;128;MAGDEBURG;x;
53;135;138;192;L�NEBURG;x;
54;7;140;255;BREMEN;x;
55;135;142;0;OLDENBURG;x;
56;8;144;64;OSNABR�CK;x;
57;136;146;128;HANNOVER;x;
58;8;148;192;ANHALT;x;
59;136;150;255;MEISSEN;x;
60;8;152;0;LAUSITZ;x;
61;136;154;64;DRESDEN;x;
62;8;156;128;LEIPZIG;x;
63;137;158;192;ERFURT;x;
64;9;32;255;NIEDERBAYERN;x;
65;137;34;0;M�NCHEN;x;
66;9;36;64;BAMBERG;x;
67;137;38;128;FRANKEN;x;
68;9;40;192;MEMMINGEN;x;
69;137;42;255;KONSTANZ;x;
70;10;44;0;W�RTTEMBERG;x;
71;138;46;64;LEININGEN;x;
72;10;48;128;BREISGAU;x;
73;138;50;192;TIROL;x;
74;10;52;255;BADEN;x;
75;138;54;0;ELSASS;x;
76;10;56;64;SALZBURG;x;
77;139;58;128;WORMS;x;
78;11;60;192;PFALZ;x;
79;139;62;255;W�RZBURG;x;
80;11;64;0;TRIER;x;
81;139;66;64;HESSEN;x;
82;11;68;128;LIPPE;x;
83;139;70;192;NASSAU;x;
84;12;72;255;BERG;x;
85;140;74;0;K�LN;x;
86;12;76;64;M�NSTER;x;
87;227;223;154;MUGNANO;x;
88;219;215;144;CAPRANICA;x;
89;212;200;175;CIVITAVECCHIA;x;
90;229;220;199;CORNETO;x;
91;141;86;64;HAINAULT;x;
92;13;88;128;BRABANT;x;
93;141;90;192;LI�GE;x;
94;13;92;255;LUXEMBURG;x;
95;141;94;0;NOORD;x;
96;13;96;64;ZEELAND;x;
97;141;98;128;HOLLAND;x;
98;14;100;192;UTRECHT;x;
99;142;102;255;GELRE;x;
100;14;104;0;FRIESLAND;x;
101;142;106;64;LIGURIA;x;
102;14;108;128;NICE;x;
103;85;80;32;NIKLAS;x;
104;14;112;255;LOMBARDIA;x;
105;143;114;0;PARMA;x;
106;15;116;64;MODENA;x;
107;143;118;128;BRESCIA;x;
108;15;120;192;VERONA;x;
109;143;122;255;MANTUA;x;
110;15;124;0;TRENT;x;
111;143;126;64;FRIULI;x;
112;16;128;128;VENEZIA;x;
113;144;130;192;FERRARA;x;
114;16;132;255;ROMAGNA;x;
115;144;134;0;PISA;x;
116;16;136;64;FIRENZE;x;
117;144;138;128;SIENA;x;
118;16;140;192;ROMA;x;
119;145;142;255;ANCONA;x;
120;239;231;215;VITERBO;x;
121;208;202;189;MONTEFIASCONE;x;
122;213;209;140;PESCIA;x;
123;196;178;145;TOSCANELLA;x;
124;219;206;178;CASTRO;x;
125;212;208;136;PITIGLIANO;x;
126;232;229;177;ACQUAPENDENTE;x;
127;207;188;153;ORVIETO;x;
128;18;32;192;K�RNTEN;x;
129;146;34;255;KRAIN;x;
130;18;36;0;ISTRIA;x;
131;195;180;151;NARNI;x;
132;18;40;128;STEIERMARK;x;
133;147;42;192;LINZ;x;
134;19;44;255;WIEN;x;
135;239;235;176;AMELIA;x;
136;242;234;220;TERNI;x;
137;231;221;205;TODI;x;
138;210;206;144;NORCIA;x;
139;244;240;180;FOLIGNO;x;
140;234;224;207;ASSISI;x;
141;224;221;171;CITTA DELLA PIEVE;x;
142;217;213;154;MAGIONE;x;
143;229;203;178;MONTONE;x;
144;244;239;163;GUBBIO;x;
145;215;212;162;CITTA DI CASTELLO;x;
146;248;245;204;MONTE SANTA MARIA;x;
147;44;152;27;COSPAIA;x;
148;255;151;49;ASCOLI;x;
149;241;185;129;OFFIDA;x;
150;255;226;197;RIPATRANSONE;x;
151;181;92;6;FERMO;x;
152;248;123;0;MONTOLMO;x;
153;193;95;0;TOLENTINO;x;
154;255;126;0;CAMERINO;x;
155;205;134;65;LORETO;x;
156;255;195;137;MACERATA;x;
157;193;129;67;SAN SEVERINO;x;
158;255;154;56;FABRIANO;x;
159;212;144;77;SASSOFERRATO;x;
160;232;122;14;PERGOLA;x;
161;246;213;180;IESI;x;
162;219;146;76;CINGOLI;x;
163;255;240;226;OSIMO;x;
164;188;110;35;SENIGALLIA;x;
165;151;106;0;BERN;x;
166;23;108;64;SCHWYZ;x;
167;37;114;154;FANO;x;
168;72;163;210;MONDAVIO;x;
169;129;186;215;FOSSOMBRONE;x;
170;63;156;205;PESARO;x;
171;79;170;217;CAGLI;x;
172;72;128;157;CASTEL DURANTE;x;
173;25;95;131;PRATIEGHI;x;
174;92;181;227;SCAVOLINO;x;
175;57;151;200;MONTEFELTRO;x;
176;140;194;222;TALAMELLO;x;
177;119;95;10;SAN MARINO;x;
178;121;176;205;RIMINI;x;
179;32;105;143;SAVIGNANO;x;
180;255;252;210;GATTEO;x;
181;217;210;150;CESENA;x;
182;241;218;125;SARSINA;x;
183;236;230;183;CERVIA;x;
184;234;222;176;FORLIMPOPOLI;x;
185;205;198;135;FORLI;x;
186;244;239;198;FAENZA;x;
187;207;170;24;COMMERCY;x;
188;26;152;192;METZ;x;
189;155;154;255;LOTHRINGEN;x;
190;219;211;178;COTIGNOLA;x;
191;243;221;132;CASTEL BOLOGNESE;x;
192;212;204;136;IMOLA;x;
193;155;34;192;FRANCHE-COMT�;x;
194;241;237;207;CASTEL DEL RIO;x;
195;219;211;180;MEDICINA;x;
196;246;242;207;VERGATO;x;
197;255;227;113;PANICO;x;
198;251;247;209;CENTO;x;
199;243;217;113;MINERBIO;x;
200;236;212;116;LUGO;x;
201;248;243;203;ARGENTA;x;
202;243;218;119;COPPARO;x;
203;220;211;135;COMACCHIO;x;
204;229;218;175;ARIANO;x;
205;157;58;0;SAVOIE;x;
206;225;215;131;ALTO POLESINE;x;
207;124;97;39;MONTE ARGENTARIO;x;
208;155;135;91;ORBETELLO;x;
209;131;104;47;SOVANA;x;
210;177;166;139;SCANSANO;x;
211;140;119;74;GROSSETO;x;
212;164;144;102;ROCCALBEGNA;x;
213;174;162;133;SANTA FIORA;x;
